pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
22.352,32.992,-90.0,bottom,C1,,C_Radial_D8.0mm_H7.0mm_P3.50mm,10uF/16v,tht,True
53.34,1.27,90.0,bottom,C2,,C_Rect_L7.0mm_W3.5mm_P5.00mm,100nF,tht,True
28.702,32.98,-90.0,bottom,C3,,C_Rect_L7.0mm_W3.5mm_P5.00mm,100nF,tht,True
62.25,28.925,0.0,bottom,D1,,LED_D3.0mm_Horizontal_O1.27mm_Z2.0mm,RED,tht,True
43.815,25.4,90.0,bottom,J1,,PinHeader_1x04_P2.54mm_Horizontal,Conn_01x04,tht,True
11.94,-0.0,0.0,bottom,J10,,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,Conn_ButtonsLeft,tht,True
68.58,-0.0,-90.0,bottom,J2,,PinHeader_1x04_P2.54mm_Horizontal,I2C_INPUT,tht,True
68.58,27.94,-90.0,bottom,J3,,PinSocket_1x04_P2.54mm_Horizontal,I2C_INPUT,tht,True
-0.635,23.495,180.0,bottom,J4,,PinHeader_1x04_P2.54mm_Horizontal,I2C_INPUT,tht,True
73.66,23.495,180.0,bottom,J5,,PinSocket_1x04_P2.54mm_Horizontal,I2C_INPUT,tht,True
71.21,11.43,180.0,bottom,J6,,PinSocket_2x04_P2.54mm_Horizontal,Conn_ToButtonsRight,tht,True
1.84,11.43,180.0,bottom,J7,,PinHeader_2x04_P2.54mm_Horizontal,Conn_FromButtonsLeft,tht,True
5.715,17.27,-90.0,bottom,J9,,JST_PH_B9B-PH-K_1x09_P2.00mm_Vertical,Conn_ButtonsLeft,tht,True
64.77,24.13,0.0,bottom,R1,,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,680,tht,True
40.005,16.75,90.0,top,RV1,,PTA2043-2015CPB103,10K,tht,True
54.92,32.345,180.0,bottom,SW1,,SW_PUSH_ANGLED,SW_Push,tht,True
28.687,25.4,90.0,bottom,SW2,,PinHeader_1x03_P2.54mm_Vertical,SW_POWER,tht,True
57.15,6.985,-90.0,bottom,U1,,DIP-8_W7.62mm,ATtiny85,tht,True
60.96,15.875,-45.0,top,U2,,p3015_v1_cw360,p3015_v1_cw360,tht,True
40.005,17.78,180.0,bottom,U3,,Arduino_Pro_Mini_Socket_NoSPH_BURC,Arduino_Pro_Mini,tht,True
19.0515,15.875,-45.0,top,U4,,p3015_v1_cw360,p3015_v1_cw360,tht,True
